title,company,location,description,salary
Développeur Python,IMBA Consulting,Paris (75),,
Développeur backend Python/Django (H/F),Telio,Villepinte (93),,
Développeur Web Python,Beyowi,75013 Paris,,
Développeur Fullstack Python/VueJs (H/F),DHM GROUP,Télétravail partiel à 92200 Neuilly-sur-Seine,,
Développeur Python Back-End (confirmé),Patrowl,Télétravail partiel à 75015 Paris,,
Alternance - Développeur Informatique (H/F) - 12 mois - Paris,Ozly,Paris (75),,
Développeur IA / LLM (H/F),DHM GROUP,Télétravail partiel à 75004 Paris,,
"Développeur.e Web Data & Interactifs – JavaScript, Python, D3.js",DHM GROUP,92200 Neuilly-sur-Seine,,
Lead développeur Python,THETYS France,Paris (75),,
Développeur Ruby / Python (H/F),Cyberwatch,Massy (91),,
Développeur Ruby / Python (H/F),Cyberwatch,Massy (91),,
Développeur Full Stack (H/F),Quodagis Consulting,Paris 11e (75),,
Data / AI Engineer,Novelis innovation,Paris (75),,
DATA ENGINEER – F/H - CDI,Groupe Satec,92532 Levallois-Perret,,
Stage Développeur 6 mois,Beyowi,75013 Paris,,
Stagiaire Consultant(e) Data Engineer - H/F,SMART TEEM,Paris (75),,
Data Scientist H/F - Paris,AVISIA,75016 Paris,,
Data scientist / ml engineer – plateforme data science (h/f),Institut Imagine,Paris (75),,
Junior Data Scientist (6-month Internship) 2025-2026,Kayrros,Télétravail partiel à 75009 Paris,,
Data Scientist H/F,LBESOFT,75002 Paris 2e,,
Data Scientist: France,Shift Technology,Paris (75),,
Data Scientist (F/M),Veesion,Télétravail partiel à 75004 Paris,,
Data Scientist H/F,Audiens,Télétravail partiel à 92170 Vanves,,
Consultant.e Data Scientist F/H,Valoway,Paris (75),,
Data Scientist h-f,Danem People France,Paris (75),,
Data Scientist h-f,Danem People France,Paris (75),,
Data scientist (H/F/NB),Keyrus France,Télétravail partiel à 92300 Levallois-Perret,,
Staff Data Scientist,Vestiaire Collective,Télétravail partiel à Paris (75),,
Consultant Data Analyst (H-F),Arcane,Télétravail à 75010 Paris,,
Consultant(e) Data Analyst,Sia,75002 Paris,,
Data Analyst F/H,WAAT,Télétravail partiel à Malakoff (92),,
Data Scientist confirmé ou senior F/H,Artelys,Paris (75),,
Ingénieur Commercial Logiciel H/F,DIMO SOFTWARE,69760 Limonest,,
Ingénieur d'exploitation H/F,Cowigo,Télétravail partiel à Lyon (69),,
Ingénieur électronique et software embarqués H/F,FOCAL ONE,Télétravail partiel à 69120 Vaulx-en-Velin,,
Ingénieur électronique et software embarqués H/F,FOCAL ONE,Télétravail partiel à 69120 Vaulx-en-Velin,,
Stage - Mise en place d’un traitement temps-réel complet de détection d’objets sur caméra,Kitware,Lyon (69),,
Ingénieur étude et développement JAVA,Alphosa,Lyon (69),,
Ingénieur test et automatisation,IKIGAI,Lyon 9e (69),,
Ingénieur en développement logiciels embarqués H/F,ALTEN,Lyon (69),,
Ingénieur Tests Industriels Electroniques,ALTEN,Lyon (69),,
Ingenieur Electronique (H/F),Kickmaker,Lyon (69),,
"Stagiaire Ingénieur, Développement Software",Rexroth,69200 Vénissieux,,
Ingénieur DevOps F/H,IT-Development SAS,Télétravail partiel à 69890 La Tour-de-Salvagny,,
Ingénieur V&V H/F,ALTEN,Lyon (69),,
Ingénieur Calculs H/F,MONTEIRO,69190 Saint-Fons,,
Ingénieur étude et développement Java H/F,Ouidou,Télétravail partiel à 69000 Lyon,,
Ingénieur électrotechnique H/F,REEL,69450 Saint-Cyr-au-Mont-d'Or,,
